PROVINCE_CODE,CITY_CODE,DISTRICT_CODE,STANDARD_YEAR_MONTH,WEEKDAY_WEEKEND,GENDER,AGE_GROUP,TIME_SLOT,RESIDENTIAL_POPULATION,WORKING_POPULATION,VISITING_POPULATION
11,11140,11140106,202310,H,M,35,T15,7.79,5.9,23.09
11,11140,11140124,202305,W,M,60,T15,50.97,65.9,115.75
11,11140,11140114,202307,H,F,60,T12,98.18,31.42,134.19
11,11650,11650109,202307,H,M,70,T15,152.8,0.0,43.73
11,11140,11140121,202311,W,F,70,T24,324.69,0.0,41.08
11,11140,11140164,202204,H,M,10,T06,38.92,1.35,7.85
11,11560,11560101,202110,W,M,70,T09,292.5,0.0,256.38
11,11560,11560103,202109,W,M,10,T06,49.12,0.69,16.84
11,11650,11650102,202203,H,F,15,T18,578.19,0.0,407.56
11,11140,11140160,202106,H,M,30,T06,5.0,3.2,20.72
11,11140,11140139,202108,H,M,10,T24,11.49,0.01,1.52
11,11140,11140174,202311,W,F,55,T21,57.29,4.23,7.51
11,11560,11560122,202103,W,M,20,T06,33.95,4.3,5.62
11,11560,11560133,202207,H,M,45,T12,1707.42,171.45,618.23
11,11140,11140167,202312,W,M,25,T18,55.3,71.57,150.27
11,11140,11140118,202312,H,F,65,T21,215.74,12.24,32.94
11,11560,11560115,202305,W,F,40,T18,376.8,80.04,191.85
11,11560,11560118,202311,H,F,25,T09,420.56,27.85,123.07
11,11560,11560132,202208,H,F,30,T24,2687.75,115.84,730.0
11,11560,11560124,202311,W,M,35,T18,250.62,59.03,137.56
11,11560,11560101,202202,H,M,55,T06,569.24,35.66,138.66
11,11560,11560132,202104,W,M,25,T21,2599.0,209.7,885.09
11,11140,11140111,202206,H,M,45,T12,56.18,124.54,555.4
11,11140,11140138,202302,H,F,35,T21,70.13,7.49,42.22
11,11140,11140110,202202,H,M,25,T24,10.6,2.43,29.52
11,11140,11140146,202306,W,M,55,T09,17.0,38.39,36.8
11,11560,11560134,202210,H,F,50,T06,42.69,3.77,19.2
11,11140,11140125,202112,W,M,60,T21,22.35,6.43,28.61
11,11140,11140127,202110,W,M,55,T09,20.88,184.18,150.01
11,11140,11140104,202205,W,F,45,T24,26.72,2.79,9.41
11,11140,11140139,202104,W,F,45,T06,8.61,13.72,4.73
11,11140,11140168,202303,W,M,30,T21,103.15,25.68,71.88
11,11140,11140163,202311,H,F,40,T15,148.66,23.86,157.67
11,11140,11140149,202308,H,M,10,T18,65.66,1.01,42.81
11,11140,11140129,202306,H,F,45,T15,26.1,7.05,25.93
11,11140,11140164,202309,H,F,55,T21,152.8,7.92,30.31
11,11140,11140131,202112,H,F,55,T12,8.34,7.32,24.07
11,11140,11140131,202208,W,M,25,T24,29.11,4.43,26.99
11,11140,11140106,202111,W,F,30,T21,1.79,4.02,10.54
11,11140,11140166,202207,W,F,10,T18,45.87,3.0,44.64
11,11560,11560117,202209,H,M,70,T15,79.87,0.0,65.23
11,11560,11560104,202205,H,M,35,T06,173.82,14.6,236.92
11,11140,11140111,202309,H,F,15,T09,116.34,0.0,114.3
11,11140,11140129,202306,W,F,55,T06,24.4,10.22,7.25
11,11650,11650101,202106,W,F,70,T18,4168.56,2.2,993.47
11,11560,11560103,202202,H,M,30,T09,287.5,17.72,234.16
11,11560,11560103,202210,W,F,30,T21,263.59,11.92,194.83
11,11560,11560108,202308,H,M,10,T09,365.91,3.15,173.93
11,11140,11140107,202206,W,M,30,T12,3.93,133.53,95.93
11,11560,11560133,202202,W,F,65,T06,1457.41,132.66,191.69
11,11140,11140105,202308,H,M,55,T09,151.28,55.21,185.61
11,11140,11140138,202310,W,M,25,T18,74.67,65.85,182.28
11,11140,11140171,202309,H,M,15,T12,46.96,0.0,52.65
11,11140,11140130,202209,W,F,50,T15,4.18,22.16,12.54
11,11140,11140138,202205,W,M,20,T12,69.69,102.44,241.84
11,11140,11140157,202211,H,F,50,T09,9.13,7.52,18.61
11,11140,11140137,202302,W,M,65,T18,31.15,17.53,52.84
11,11140,11140141,202309,W,F,65,T09,24.08,14.01,24.48
11,11560,11560127,202112,W,M,35,T06,269.81,125.57,159.9
11,11140,11140166,202102,W,M,15,T15,2.2,0.0,19.83
11,11140,11140133,202204,W,F,60,T09,13.38,39.05,18.07
11,11560,11560128,202212,H,F,65,T21,238.68,11.56,31.49
11,11560,11560119,202202,H,F,35,T24,139.34,3.99,28.7
11,11560,11560109,202310,W,M,45,T09,80.28,116.6,134.69
11,11650,11650102,202204,W,F,45,T18,1382.49,481.42,953.48
11,11560,11560113,202106,W,F,65,T18,223.22,35.27,70.21
11,11650,11650103,202101,W,M,65,T12,255.52,90.8,101.64
11,11650,11650108,202201,H,F,45,T06,4876.12,224.29,1405.06
11,11560,11560131,202203,H,M,45,T12,46.49,8.18,94.52
11,11140,11140144,202311,W,F,70,T12,244.62,0.0,241.52
11,11560,11560123,202201,W,M,40,T15,90.36,62.12,185.27
11,11140,11140160,202206,W,M,50,T09,10.2,154.71,68.92
11,11140,11140121,202204,W,M,40,T12,32.72,433.22,244.35
11,11140,11140170,202106,H,M,45,T15,18.77,9.78,46.56
11,11650,11650104,202306,W,F,50,T24,60.92,1.34,7.93
11,11560,11560113,202206,H,M,60,T18,211.67,31.02,164.97
11,11650,11650111,202101,W,M,65,T09,82.0,15.77,52.39
11,11560,11560117,202207,W,F,70,T09,100.47,0.0,59.76
11,11560,11560132,202102,H,M,25,T24,2823.88,168.48,801.2
11,11560,11560109,202106,W,F,40,T09,171.59,131.49,156.89
11,11560,11560102,202101,W,M,15,T15,9.92,0.0,12.9
11,11650,11650111,202110,H,M,55,T12,68.18,8.84,117.85
11,11140,11140169,202208,W,M,15,T24,6.0,0.0,2.19
11,11560,11560128,202211,W,M,55,T09,138.77,290.18,215.77
11,11140,11140147,202304,H,M,60,T12,25.91,20.0,47.46
11,11140,11140133,202101,W,F,60,T12,13.72,32.48,20.22
11,11560,11560103,202206,W,M,25,T09,91.0,76.62,119.6
11,11140,11140116,202307,H,F,45,T06,110.85,7.31,33.99
11,11140,11140113,202106,H,F,50,T18,4.83,3.84,23.77
11,11140,11140109,202101,W,F,50,T12,2.3,62.86,15.74
11,11560,11560105,202107,W,M,35,T12,123.51,335.16,592.81
11,11140,11140130,202304,H,F,10,T12,32.52,0.23,29.98
11,11140,11140126,202105,W,M,40,T18,9.83,73.74,72.53
11,11560,11560105,202204,H,M,10,T12,77.9,1.4,523.28
11,11140,11140121,202110,H,M,35,T18,47.29,42.65,104.32
11,11560,11560129,202311,W,F,55,T12,68.33,77.05,57.67
11,11560,11560110,202111,H,M,65,T09,773.88,212.1,1279.42
11,11140,11140132,202309,W,F,25,T06,85.2,33.23,41.82
11,11140,11140142,202203,H,F,45,T15,13.22,5.77,20.54
11,11140,11140158,202306,W,F,55,T24,64.1,4.2,8.82
11,11140,11140135,202207,H,M,30,T15,13.73,4.02,15.69
11,11140,11140156,202103,H,F,30,T24,6.83,0.25,14.52
11,11140,11140156,202203,H,M,65,T09,3.56,16.97,9.96
11,11140,11140169,202212,H,M,40,T18,32.93,7.08,31.36
11,11140,11140134,202212,W,M,30,T24,41.33,5.74,18.24
11,11140,11140149,202210,H,F,45,T21,40.33,3.79,76.05
11,11560,11560105,202311,W,M,40,T09,275.17,447.1,539.25
11,11140,11140102,202108,H,M,15,T24,0.64,0.0,1.29
11,11140,11140164,202311,W,F,50,T09,77.33,58.81,59.35
11,11140,11140146,202103,H,M,35,T18,16.92,6.07,31.23
11,11560,11560104,202203,H,F,35,T06,123.97,13.83,121.62
11,11560,11560128,202202,W,F,20,T09,177.85,151.74,121.01
11,11140,11140167,202204,H,F,50,T21,43.67,3.34,29.64
11,11560,11560105,202205,W,F,50,T21,129.57,36.22,119.44
11,11560,11560130,202106,W,F,30,T06,61.35,7.16,11.79
11,11560,11560134,202201,H,M,20,T18,17.11,1.4,15.12
11,11560,11560110,202205,H,F,40,T24,1544.71,64.09,358.65
11,11560,11560129,202309,H,F,20,T18,68.68,14.26,63.58
11,11140,11140162,202201,W,F,60,T12,1305.34,618.49,1412.63
11,11560,11560133,202302,W,F,20,T18,843.79,128.38,458.66
11,11140,11140140,202307,W,M,15,T12,8.15,0.0,17.53
11,11140,11140145,202206,H,M,30,T15,15.3,15.85,103.45
11,11140,11140109,202302,W,F,20,T15,11.51,65.71,53.0
11,11560,11560110,202304,W,M,50,T24,3280.62,231.52,755.08
11,11140,11140106,202105,H,F,55,T24,0.75,0.15,0.74
11,11140,11140129,202305,H,F,25,T12,12.99,6.94,31.64
11,11140,11140145,202309,H,F,30,T21,46.81,5.02,72.8
11,11140,11140157,202212,H,M,15,T21,13.87,0.0,8.65
11,11140,11140101,202301,W,M,40,T09,35.44,278.1,237.56
11,11560,11560107,202208,W,F,15,T12,17.48,0.0,29.11
11,11140,11140174,202111,W,F,40,T24,120.01,6.05,14.55
11,11140,11140150,202309,H,F,30,T09,86.35,19.29,114.2
11,11140,11140108,202303,H,F,40,T21,9.98,1.24,4.32
11,11140,11140149,202108,W,M,45,T12,18.47,51.05,66.11
11,11140,11140149,202209,H,F,40,T06,22.54,2.84,17.15
11,11140,11140127,202311,W,F,30,T21,122.3,32.33,65.74
11,11140,11140105,202103,H,M,25,T24,6.55,12.11,53.69
11,11140,11140107,202204,H,F,15,T24,0.22,0.0,1.62
11,11650,11650108,202203,W,M,20,T09,1799.59,1678.25,1951.92
11,11560,11560117,202201,W,F,35,T15,91.96,32.61,98.76
11,11140,11140127,202206,H,F,30,T18,37.49,43.1,301.04
11,11140,11140133,202207,W,F,65,T09,14.95,19.82,18.98
11,11140,11140140,202311,W,F,65,T18,20.25,2.72,6.78
11,11140,11140119,202305,W,M,45,T09,19.78,164.19,111.33
11,11140,11140104,202106,W,F,40,T18,4.63,104.91,75.55
11,11140,11140129,202106,H,F,60,T15,5.64,3.9,9.89
11,11560,11560121,202204,W,M,60,T21,343.91,26.22,78.71
11,11140,11140124,202207,H,F,40,T06,45.57,7.28,37.91
11,11560,11560105,202306,W,M,55,T21,313.74,41.82,147.72
11,11650,11650108,202205,W,M,40,T06,3750.09,3483.02,4238.92
11,11560,11560126,202201,H,M,20,T21,69.93,4.62,34.4
11,11560,11560126,202111,W,M,55,T09,47.64,65.03,60.71
11,11140,11140134,202310,W,F,20,T06,49.21,11.88,24.22
11,11140,11140170,202207,H,M,70,T24,18.11,0.0,22.96
11,11560,11560132,202106,H,F,60,T15,2377.28,290.97,798.47
11,11140,11140104,202306,W,M,30,T12,58.12,486.35,253.2
11,11140,11140153,202201,H,M,25,T09,9.66,2.39,26.21
11,11140,11140153,202101,H,F,25,T24,4.22,0.47,10.38
11,11140,11140150,202112,W,M,40,T21,12.7,11.32,54.06
11,11140,11140112,202209,W,F,70,T09,93.33,0.62,663.37
11,11140,11140132,202208,H,M,50,T06,51.88,25.33,43.22
11,11140,11140145,202101,H,F,15,T15,1.99,0.0,12.77
11,11140,11140157,202102,W,F,60,T18,3.49,7.86,9.14
11,11140,11140112,202305,W,F,30,T24,155.4,10.33,36.37
11,11560,11560124,202205,W,F,15,T12,97.89,0.0,102.74
11,11140,11140150,202303,W,F,60,T12,24.47,91.09,60.53
11,11560,11560110,202309,W,F,15,T21,1528.14,0.0,673.12
11,11140,11140103,202211,H,M,60,T18,52.96,11.51,79.04
11,11140,11140115,202208,W,F,30,T21,29.55,10.45,40.13
11,11140,11140148,202209,W,M,65,T06,101.13,113.85,149.33
11,11140,11140139,202104,H,F,65,T21,10.53,1.04,1.3
11,11140,11140156,202305,H,M,10,T21,42.16,0.12,13.53
11,11140,11140151,202104,W,M,30,T06,22.03,52.58,69.64
11,11650,11650102,202105,H,M,30,T09,1473.51,451.45,971.84
11,11560,11560112,202108,W,M,50,T09,92.82,192.07,133.61
11,11140,11140153,202212,W,F,70,T06,47.23,0.0,19.12
11,11140,11140110,202302,W,M,60,T06,20.72,19.41,24.17
11,11140,11140118,202105,W,F,25,T18,37.81,192.76,195.99
11,11140,11140104,202302,H,M,20,T12,55.23,59.7,152.09
11,11560,11560106,202110,H,M,65,T06,50.02,8.8,15.33
11,11140,11140123,202212,W,M,40,T18,18.31,13.14,37.16
11,11140,11140126,202212,W,M,40,T24,188.79,8.1,44.2
11,11140,11140173,202211,W,M,40,T24,35.54,1.5,6.8
11,11140,11140129,202301,H,M,55,T15,33.43,6.64,29.72
11,11560,11560106,202101,H,F,35,T18,69.28,9.26,35.35
11,11140,11140115,202110,H,M,50,T06,5.68,10.09,32.8
11,11650,11650106,202212,H,F,70,T24,1789.46,0.0,248.91
11,11140,11140132,202308,H,M,15,T12,38.13,0.0,29.78
11,11560,11560128,202305,H,F,25,T12,227.17,45.87,186.95
11,11140,11140130,202303,H,M,35,T18,38.22,3.12,25.27
11,11560,11560121,202108,W,M,70,T12,436.06,0.01,437.91
11,11140,11140134,202204,H,M,70,T06,19.75,0.0,21.58
11,11560,11560122,202201,W,F,60,T06,65.58,6.36,16.28
11,11140,11140135,202304,W,F,15,T18,10.93,0.0,7.49
11,11560,11560112,202306,H,F,35,T15,155.1,23.04,88.0
11,11140,11140150,202312,W,M,30,T21,124.02,18.53,105.98
11,11140,11140116,202212,H,F,55,T09,47.0,25.05,49.66
11,11140,11140116,202111,W,F,65,T06,14.83,10.79,11.55
11,11140,11140144,202310,H,F,40,T12,148.63,77.86,287.07
11,11560,11560131,202306,W,F,45,T09,50.2,43.57,47.17
11,11140,11140159,202109,H,F,40,T09,7.9,9.25,20.46
11,11650,11650102,202303,H,F,50,T09,1606.07,393.02,1184.93
11,11560,11560122,202208,W,F,10,T09,94.48,2.58,20.04
11,11140,11140128,202201,W,M,50,T24,22.27,1.18,11.17
11,11140,11140174,202105,H,F,35,T21,115.85,3.64,23.44
11,11560,11560114,202307,H,M,30,T12,164.86,44.94,137.2
11,11560,11560119,202310,W,M,40,T24,188.12,8.37,38.77
11,11140,11140102,202105,H,F,15,T24,1.31,0.0,1.98
11,11140,11140168,202205,H,M,30,T15,38.5,32.85,99.75
11,11560,11560122,202104,W,M,20,T24,34.92,1.43,3.97
11,11560,11560133,202110,H,M,15,T21,1066.68,0.01,276.23
11,11560,11560121,202209,H,M,35,T15,299.17,91.74,358.69
11,11650,11650101,202208,W,F,40,T24,3974.78,184.92,389.63
11,11140,11140127,202210,H,F,60,T21,61.7,8.37,21.86
11,11140,11140148,202310,W,F,20,T21,540.0,59.21,461.17
11,11140,11140121,202110,H,F,70,T15,116.48,0.03,93.81
11,11140,11140110,202109,H,M,15,T06,0.33,0.0,5.27
11,11140,11140124,202204,W,F,70,T12,19.89,0.0,172.95
11,11140,11140103,202306,W,M,70,T09,117.91,0.0,322.38
11,11140,11140170,202309,H,M,60,T15,34.76,6.2,46.24
11,11140,11140130,202312,W,M,15,T12,6.89,0.0,22.48
11,11140,11140124,202311,W,M,65,T24,120.58,6.41,25.0
11,11560,11560131,202304,W,F,60,T21,88.56,3.31,17.2
11,11560,11560108,202309,W,F,55,T18,231.37,50.46,99.19
11,11560,11560133,202308,W,F,20,T21,1144.33,82.69,366.77
11,11650,11650110,202207,H,M,55,T12,46.2,16.54,82.01
11,11140,11140115,202307,W,F,55,T15,54.38,111.92,84.86
11,11140,11140135,202210,W,M,30,T06,22.34,26.99,34.4
11,11140,11140169,202310,H,M,10,T24,43.56,0.13,12.65
11,11140,11140116,202204,H,M,70,T15,11.0,0.0,38.29
11,11140,11140111,202104,W,M,10,T21,7.91,0.0,9.09
11,11140,11140160,202312,H,F,70,T09,38.64,0.0,21.56
11,11140,11140152,202101,W,M,60,T12,11.7,182.98,87.03
11,11560,11560102,202206,H,M,60,T24,40.65,2.14,16.23
11,11140,11140133,202208,H,M,55,T21,22.8,7.89,13.93
11,11560,11560102,202211,W,F,60,T15,37.55,12.63,37.49
11,11140,11140167,202309,W,M,10,T09,71.93,1.39,119.76
11,11140,11140124,202209,H,M,35,T15,29.8,59.39,248.22
11,11560,11560110,202312,H,M,20,T21,1377.46,240.47,978.72
11,11560,11560119,202106,W,F,45,T09,83.55,124.06,87.26
11,11140,11140135,202302,H,M,45,T06,11.74,6.05,6.68
11,11650,11650109,202301,W,M,70,T12,122.9,1.01,68.55
11,11560,11560116,202311,W,F,45,T09,117.42,155.69,99.95
11,11140,11140109,202108,W,F,45,T21,1.55,1.92,4.79
11,11140,11140159,202202,W,M,65,T06,10.71,28.83,22.03
11,11560,11560127,202109,H,M,40,T09,203.15,49.68,144.21
11,11140,11140173,202307,H,F,20,T09,16.7,2.29,10.88
11,11140,11140114,202204,H,M,25,T24,13.93,8.58,63.74
11,11650,11650111,202303,W,F,30,T06,79.18,12.06,54.27
11,11140,11140133,202205,H,F,50,T09,19.78,11.12,15.1
11,11560,11560120,202208,W,F,30,T15,29.27,48.54,52.69
11,11140,11140159,202101,H,M,45,T09,11.32,28.42,30.04
11,11560,11560114,202108,H,F,60,T21,205.0,19.96,19.31
11,11140,11140131,202308,H,M,65,T15,53.41,8.64,53.68
11,11140,11140109,202106,W,F,30,T09,1.41,264.49,58.08
11,11140,11140168,202104,H,M,50,T12,36.45,25.16,108.91
11,11140,11140115,202101,W,F,55,T06,1.27,32.11,10.64
11,11140,11140134,202307,W,M,35,T24,66.02,6.51,18.61
11,11140,11140162,202202,H,F,40,T12,1866.17,327.31,931.52
11,11140,11140120,202204,H,F,40,T15,31.28,26.44,156.33
11,11650,11650106,202303,W,F,40,T18,1745.21,313.76,698.0
11,11560,11560108,202302,H,F,10,T24,384.78,0.88,90.69
11,11140,11140141,202108,H,M,15,T12,2.07,0.0,2.78
11,11140,11140163,202206,H,F,55,T06,123.41,26.41,55.23
11,11140,11140122,202302,H,F,40,T24,85.74,4.2,20.42
11,11140,11140136,202104,W,M,65,T12,7.08,23.55,16.56
11,11560,11560125,202209,H,F,35,T15,166.22,23.75,79.77
11,11560,11560123,202206,W,M,30,T24,177.15,4.77,24.61
11,11650,11650108,202306,H,F,60,T18,4067.73,490.53,1375.5
11,11140,11140135,202309,W,M,15,T15,7.47,0.0,17.74
11,11140,11140128,202302,H,M,25,T21,27.22,3.69,29.64
11,11560,11560120,202201,H,M,10,T21,65.46,0.08,16.05
11,11140,11140154,202206,H,M,70,T24,21.59,0.0,8.56
11,11650,11650108,202107,H,M,55,T06,2811.66,427.26,1394.62
11,11560,11560123,202207,W,M,55,T12,63.97,103.96,119.91
11,11560,11560106,202208,W,M,45,T06,51.08,17.85,36.61
11,11140,11140135,202106,W,F,50,T12,4.37,56.6,15.42
11,11140,11140151,202309,H,F,35,T24,77.2,2.47,29.46
11,11140,11140128,202301,W,M,55,T06,32.52,16.29,36.99
11,11650,11650101,202302,H,F,50,T15,2821.48,512.79,1204.16
11,11140,11140106,202104,H,F,15,T21,0.25,0.0,0.69
11,11560,11560131,202312,H,M,15,T15,44.58,0.0,37.03
11,11140,11140114,202312,W,F,35,T18,229.35,122.42,271.62
11,11140,11140157,202107,H,F,50,T21,3.37,0.48,2.99
11,11140,11140163,202301,W,M,65,T18,80.68,20.24,72.92
11,11650,11650101,202110,W,F,70,T15,3549.8,0.19,1478.76
11,11140,11140115,202208,W,F,10,T09,29.91,0.45,25.23
11,11140,11140133,202311,W,F,20,T15,32.32,48.54,100.07
11,11560,11560115,202302,W,F,25,T18,427.78,115.31,378.15
11,11140,11140131,202310,H,F,25,T15,39.11,23.41,114.11
11,11140,11140163,202204,W,F,40,T24,272.88,13.24,61.45
11,11140,11140172,202105,W,F,70,T09,5.18,0.0,12.58
11,11140,11140124,202111,W,M,20,T21,10.74,6.3,58.56
11,11140,11140143,202112,H,F,65,T12,25.4,5.82,10.16
11,11140,11140170,202311,H,M,65,T18,35.68,4.06,23.24
11,11650,11650110,202106,H,M,20,T15,41.51,6.14,52.87
11,11140,11140156,202307,W,F,10,T24,50.45,0.09,6.01
11,11140,11140144,202305,W,F,35,T21,181.63,20.38,98.96
11,11560,11560119,202106,H,F,45,T15,113.2,16.36,97.74
11,11140,11140113,202101,H,F,15,T09,0.61,0.0,2.93
11,11560,11560111,202204,H,M,40,T18,148.63,16.19,66.95
11,11140,11140158,202104,H,M,50,T12,17.93,36.18,47.34
11,11140,11140133,202307,W,F,35,T24,53.72,2.34,9.12
11,11140,11140166,202108,W,F,20,T06,26.39,79.36,100.83
11,11560,11560106,202210,W,M,45,T09,21.88,31.29,72.03
11,11560,11560118,202201,H,F,55,T21,738.3,22.57,169.42
11,11560,11560123,202302,H,F,50,T18,159.59,8.54,41.47
11,11140,11140141,202110,H,M,40,T12,5.11,6.81,14.6
11,11140,11140139,202206,H,F,60,T24,20.8,0.72,1.67
11,11140,11140105,202207,W,F,30,T06,99.71,358.55,296.64
11,11140,11140172,202305,H,M,40,T24,21.01,1.01,5.93
11,11560,11560103,202208,W,F,65,T15,66.51,21.23,48.14
11,11560,11560121,202210,H,M,45,T06,470.15,59.73,153.5
11,11560,11560119,202112,W,M,70,T21,147.07,0.0,37.27
11,11140,11140115,202309,H,F,10,T18,129.81,1.55,102.15
11,11140,11140174,202202,H,F,15,T12,28.97,0.0,10.13
11,11140,11140104,202105,H,F,20,T21,2.58,7.78,35.64
11,11140,11140111,202308,W,F,10,T18,278.18,3.23,150.45
11,11560,11560133,202212,W,M,30,T21,1967.91,119.38,578.2
11,11560,11560124,202308,W,M,15,T24,208.14,0.0,24.53
11,11140,11140108,202204,H,F,55,T24,0.87,0.57,1.16
11,11140,11140172,202302,H,M,40,T21,20.27,1.75,8.88
11,11140,11140161,202303,W,M,60,T12,16.36,63.67,59.32
11,11560,11560130,202101,H,F,15,T15,24.05,0.0,7.5
11,11560,11560103,202306,H,F,10,T15,170.09,2.85,136.53
11,11140,11140145,202105,H,M,60,T18,12.35,7.25,27.76
11,11140,11140164,202209,H,F,65,T24,60.86,1.5,8.16
11,11560,11560112,202312,W,M,20,T18,97.84,23.77,85.09
11,11140,11140141,202104,W,F,10,T06,1.96,0.68,5.43
11,11560,11560117,202204,W,M,25,T09,94.89,63.15,67.37
11,11140,11140123,202205,W,F,70,T09,8.47,0.0,17.09
